#Macho_id Sigma_B Sigma_B_comp Eta_B Eta_B_comp stetson_L_B stetson_L_B_comp CuSum_B CuSum_B_comp B-R B-R_comp label
1.3567.1310 0.530558972213 0.77799846427 -0.0146791554499 0.726174612267 3.3286847122 0.717857871949 0.403505018463 0.438511537228 -0.341147826087 0.881247362285 2
1.4176.155 0.916050379155 0.880962025232 -0.00701759912437 0.883766053952 1.25932145959 0.898029860662 0.288130050668 0.841433986839 -0.322174208145 0.97634328645 2
1.4410.291 1.67595367861 0.962488826086 -0.0110179756313 0.918686962036 1.12907827191 0.713486999951 0.192880252197 0.541649393535 -0.324637440758 0.956521308213 2
1.4413.373 2.00135037372 0.987886248162 -0.0247182166339 0.889164211171 0.497715819238 0.806665302212 0.100214062509 0.933085575948 -0.382116550117 0.908029521865 2
1.4530.136 0.445658486126 0.92011049964 -0.00936609121693 0.75974456276 1.8897693977 0.805082091276 0.398140768721 0.577472829906 -0.0475 0.861741463195 2
1.4538.531 1.22726356551 0.952703195324 -0.0128415355768 0.843392654872 0.749213774451 0.79668281813 0.256394566072 0.629179706769 -0.305917525773 0.952153281867 2
1.4653.105 0.957659912074 0.923800562603 -0.00474065469261 0.894954004773 1.55930600921 0.881556277276 0.334815264301 0.765384564814 -0.392331858407 0.964938486768 2
1.4659.335 1.54966476343 0.853001047034 -0.00461207848139 0.883060194573 0.538662519459 0.796242943142 0.256339096659 0.729822850028 -0.324591836735 0.910499200784 2
10.4279.1493 0.582744756778 0.964604390318 -0.00431402557147 0.922594368397 1.55368667869 0.75561479339 0.330405206311 0.772985639722 -0.197965408805 0.949171995502 2
11.8751.968 1.06944949313 0.934120449062 -0.0323887776869 0.94533068886 0.465543778217 0.846729150807 0.146164627709 0.912869993219 0.361533980583 0.904903097842 2
11.9358.200 1.2851498331 0.981673601085 -0.0108965854257 0.923274065805 0.768995193079 0.874461077433 0.215767986725 0.814793293932 0.0395075757576 0.893351882483 2
11.9714.184 1.52190161505 0.986686776161 -0.0109597248081 0.987504625014 0.920596121778 0.901014253692 0.191571863234 0.799555542116 0.12805399061 0.988262309598 2
11.9720.68 0.46187766459 0.79016187827 -0.00843551443728 0.659098511901 6.58688590063 0.711675427937 0.410265240751 0.588755973135 -0.0621989528796 0.834733133031 2
12.10561.1161 1.46098988262 0.950923838507 -0.00909357032758 0.890414329485 0.854085004427 0.841741150675 0.217142568789 0.809699382103 -0.120686390533 0.870375501383 2
12.10684.267 1.94025408356 0.952783474378 -0.0113788124696 0.976833206963 0.254512234194 0.868993126012 0.0972302102795 0.891003898992 -0.144892215569 0.97696050022 2
12.10926.76 0.964278440653 0.783782186986 -0.00452080283641 0.629712368305 1.3789606522 0.778132368949 0.26546302001 0.803195246823 -0.0662591463415 0.827762052833 2
13.6689.2365 1.74630959372 0.962652872426 -0.00595466596915 0.967351773558 0.501905645013 0.8353483721 0.100966517492 0.645457522904 -0.281833333333 0.894069763046 2
13.6931.2479 0.512416719809 0.761394813504 -0.00897918263925 0.744229541299 1.52663597919 0.680093302926 0.401639553949 0.795411051816 -0.33381595092 0.802360072331 2
14.8493.39 0.232652975205 0.882087490981 -0.0089123504302 0.650719336124 7.43854393927 0.643254198767 0.413601314587 0.743244964572 -0.220924242424 0.90388112429 2
14.8622.3551 1.60427468844 0.925114557214 -0.00478044155878 0.946477683513 0.115288726711 0.845440507364 0.177620549862 0.837888482433 -0.492221590909 0.964776409054 2
14.8863.660 0.644482478996 0.731888917743 -0.00775795629259 0.786155301185 1.89364521353 0.759482985875 0.371258264275 0.584157921769 -0.230136363636 0.965155400138 2
14.9587.87 1.20358905997 0.945272141643 -0.0100754931531 0.883430676967 2.93001935555 0.662625407598 0.256385890297 0.644463091141 -0.153747191011 0.835140178544 2
17.2102.357 0.930045376297 0.731098415782 -0.0172104044896 0.970989261833 1.27213466382 0.687245451997 0.315822934068 0.67370321562 -0.481611111111 0.902243248861 2
17.2105.71 0.386177258992 0.746608150926 -0.0067274869318 0.737926424573 3.68975169458 0.59575116384 0.414765611892 0.741644872011 -0.284472527473 0.918516882311 2
17.2108.72 1.06814930392 0.941493108748 -0.00450383580187 0.866535109038 1.81853084295 0.597610840374 0.308971415199 0.893654154222 -0.194859649123 0.969579495301 2
17.2109.108 0.2017873209 0.831739747318 -0.0113091125783 0.720121304056 2.44701118688 0.793684600446 0.38138267509 0.811819726075 -0.369790697674 0.974252434135 2
17.2469.222 0.535870760013 0.721435865158 -0.0122599167125 0.623952592204 2.21327596111 0.443119125412 0.41620776887 0.456711064369 -0.355261363636 0.813323614724 2
17.3076.164 0.797929806339 0.825844585584 -0.0112584945071 0.796374582999 0.550010081069 0.723701189434 0.264716026012 0.642983841062 -0.485974025974 0.900179041897 2
18.2483.95 1.70795896709 0.959072289342 -0.00455671604892 0.95421122367 0.606414982731 0.811334356647 0.125681549827 0.691335998716 -0.184510869565 0.975224059948 2
18.3445.4646 1.03163930779 0.89096916919 -0.0145441992103 0.962956651845 0.943632386132 0.870359421787 0.295788653386 0.903561584225 -0.370651851852 0.957620183788 2
18.3446.4192 0.16520075246 0.674482935897 -0.0121486874321 0.810402065363 7.64030705619 0.808958627007 0.419761146855 0.804796416819 -0.39608041958 0.830343911932 2
19.3574.89 1.66028377956 0.945071071724 -0.00299082340941 0.882834390379 0.512663808491 0.709587514947 0.134350903244 0.875578644868 -0.430967741935 0.916122180238 2
19.3817.109 1.11275899229 0.899898122359 -0.00466115562294 0.872523337943 0.904262645838 0.899231612496 0.168063748351 0.701994718777 -0.428483695652 0.962480585901 2
19.4306.88 1.63221852137 0.954761672046 -0.00728524646923 0.856841714112 0.978240406858 0.774066257156 0.232832547768 0.842758509521 0.0693300653595 0.957822640808 2
206.16717.81 0.401053538755 0.897938394819 -0.00426149249413 0.929153511865 3.93530835831 0.650801926456 0.364313858958 0.797708700074 -0.314220930233 0.902508977552 2
206.16943.1467 1.43898011368 0.929436282691 -0.0064149031576 0.989180065426 0.464134854203 0.808686230199 0.215860379089 0.842528264161 -0.408988059701 0.850107958108 2
206.17003.54 0.449903519719 0.929739050124 -0.00814911637296 0.896041654118 4.47850529288 0.804711578763 0.329143984701 0.857567331257 -0.0305558912387 0.952347117499 2
207.16253.210 1.60156335683 0.942169554048 -0.00540669311445 0.97797053671 0.572939738195 0.705430411049 0.142242678268 0.75090898964 0.462834558824 0.964691414246 2
207.16256.307 0.322169581114 0.972986157147 -0.0133051704828 0.866608390239 2.60872059976 0.812215610505 0.309778466807 0.79082786697 -0.0600639097744 0.977508868944 2
207.16259.243 0.341100874696 0.964040214314 -0.00903691376822 0.722596005756 2.67246600506 0.742566004105 0.382981480418 0.846948139614 -0.448776081425 0.889437001396 2
207.16309.362 1.69329449054 0.840283635336 -0.0088227948025 0.946069183812 0.125310711558 0.756904170467 0.131505130941 0.933279772546 -0.460283068783 0.759533391489 2
207.16369.202 1.04551443383 0.896213329877 -0.00408252872464 0.894428040256 1.06186443024 0.847369064291 0.283539926004 0.78600135388 -0.536103723404 0.8900095583 2
207.16370.107 0.232791700648 0.933033989287 -0.0140546792907 0.855993856575 5.25320633453 0.755160958208 0.403224665413 0.69247906563 0.701239361702 0.901927712472 2
207.16483.111 0.127261995767 0.994497783573 -0.00725887958782 0.947260291536 5.10384043422 0.547089295212 0.381305961222 0.65743291026 -0.198101604278 0.971297822456 2
208.15912.448 1.60356996661 0.896665785026 -0.0199150720644 0.868616721007 0.574933590857 0.599665158577 0.189950670627 0.719561310599 0.68971875 0.986908019106 2
211.16249.191 1.26000004692 0.982324064226 -0.0115098410999 0.914129462134 0.679130929225 0.73020492609 0.239362583242 0.799677713264 -0.18155952381 0.975024373945 2
211.16301.73 0.399386336206 0.767434543882 -0.00685816764257 0.96493755412 2.08254005636 0.72574272995 0.37510291532 0.829225054659 -0.48630078125 0.872354275941 2
211.16419.222 0.928293937165 0.969613795113 -0.0137589320513 0.958422258685 1.61890178051 0.737539475286 0.196797372409 0.724202589598 0.412912790698 0.922407180416 2
211.16538.130 0.710245396451 0.828216977851 -0.00416120761062 0.782191651703 1.42644016485 0.498520213408 0.36212539673 0.60655406522 -0.355078616352 0.971593827099 2
211.16591.58 1.27217561827 0.970524863386 -0.00972110035301 0.959759792207 1.26801946019 0.92617371408 0.123927610343 0.749102371052 1.05478409091 0.984821531909 2
211.16766.157 1.30449846336 0.86166985001 -0.0115054807017 0.949201164615 0.480048717532 0.670364134658 0.253367059111 0.753844768692 -0.455326923077 0.978737740209 2
211.16816.33 0.523461907697 0.949889880756 -0.00974193263261 0.817065615327 1.52011988274 0.87233258696 0.297006379195 0.805110480412 -0.474739263804 0.974156053639 2
212.15675.121 0.863650023367 0.750401741241 -0.00584327676708 0.959157870854 1.53927508482 0.68585089555 0.283751001602 0.659863309436 -0.0619236363636 0.929551176481 2
212.15681.412 0.146915645846 0.816650462454 -0.0679876086909 0.89756179285 3.68486647454 0.671022578806 0.396043173306 0.863787666134 0.365542328042 0.969082457456 2
212.15734.4938 1.09020611156 0.867820848696 -0.0236806607682 0.974718279303 -0.256163671666 0.73077462398 0.237545704208 0.906582303292 0.554856396867 0.849483718338 2
212.15790.340 0.55797217987 0.525274086815 -0.00837981799929 0.837666232613 1.99616158062 0.624812426947 0.37694525963 0.543576895624 0.205596899225 0.928624094342 2
212.15843.58 0.404526892628 0.779698073922 -0.0065995308377 0.980779224053 1.87700335272 0.413734220843 0.401725155597 0.693595967414 -0.260096256684 0.941454472769 2
212.15851.175 0.226934551209 0.90686675425 -0.0080286540699 0.875552707622 0.77141158539 0.672680076679 0.401756379893 0.880261041081 1.56386549708 0.914055106819 2
