Macho_id Sigma_B Sigma_B_comp Eta_B Eta_B_comp stetson_L_B stetson_L_B_comp CuSum_B CuSum_B_comp B-R B-R_comp class
1.3567.1310 0.471648377608 0.898974776227 -0.0138642566115 0.828161566505 2.82168241769 0.720995594895 0.371643326799 0.809327181079 -0.300172473868 0.82507871275 2
1.4176.155 0.246940631139 0.678842381384 -0.0119618033831 0.669086294626 5.50577771861 0.593897297503 0.411855912358 0.699788663999 -0.339024478694 0.988003462244 2
1.4410.291 1.26901414672 0.885174022988 -0.00993846919734 0.963702875554 1.50825419142 0.836589197074 0.243065980293 0.79367918993 -0.357088403042 0.917454843221 2
1.4413.373 1.85364372145 0.988693804043 -0.0172658295731 0.94615848924 0.615362978939 0.919547273519 0.140070326258 0.937229996076 -0.394253271028 0.962013105433 2
1.4530.136 0.307033274485 0.948740293784 -0.0109686612052 0.843717594524 2.80285355869 0.608345997368 0.390754248488 0.814918133394 -0.0431706846673 0.928924443588 2
1.4538.531 0.942092355411 0.971658225097 -0.0129636948692 0.92191887256 1.13219918568 0.628008525714 0.230480832465 0.762632135619 -0.311587136929 0.964617128629 2
1.4653.105 0.187190434536 0.925416981316 -0.0104646176724 0.845347566586 4.21435404041 0.76854029945 0.371942964059 0.819208029723 -0.384391304348 0.971645987505 2
1.4659.335 0.432890204908 0.798330575406 -0.00866023785201 0.737295588686 1.89932469239 0.769232046024 0.39286165949 0.676600307702 -0.340026639344 0.741326522347 2
10.4279.1493 0.0853767850964 0.963781157095 -0.0106432791774 0.816154228753 6.10326046424 0.845504416392 0.419047394151 0.819207901571 -0.199324937028 0.957269672975 2
11.8751.968 0.69577800413 0.927355234904 -0.0496744987715 0.80303977543 1.24243392619 0.54537378345 0.303244460129 0.777800214508 0.395949367089 0.89219291272 2
11.9358.200 1.07219355485 0.985487090391 -0.0099608385507 0.922135832667 1.28083115902 0.914932378952 0.201136147933 0.647542692147 0.0494539007092 0.955126689883 2
11.9714.184 1.39415929892 0.991821013661 -0.010908011262 0.994640460718 1.0568589301 0.95282963601 0.140424425559 0.903074896629 0.11827443609 0.990908153271 2
11.9720.68 0.548681993633 0.907223629966 -0.00651400444058 0.806404135876 4.38987689375 0.612647935549 0.297863742398 0.751021416031 -0.0625473684211 0.928196307886 2
12.10561.1161 0.667900350176 0.797032988379 -0.0125878330763 0.807476822115 2.15504653692 0.564044437323 0.328681716568 0.679681528644 -0.132107947805 0.914310511257 2
