#Macho_id Sigma_B Sigma_B_comp Eta_B Eta_B_comp stetson_L_B stetson_L_B_comp CuSum_B CuSum_B_comp B-R B-R_comp label
1.3567.1310 1.64931378565 0.945577503861 -0.0077654947399 0.919071450882 0.685287569145 0.812413605458 0.201772859149 0.81201192595 -0.373073593074 0.969392288106 2
1.4176.155 1.72296796132 0.809544543567 -0.00625731807575 0.810445947464 0.191016543758 0.8760109282 0.0840227032564 0.890424048095 -0.335518018018 0.96395781095 2
1.4410.291 1.97428884539 0.960190844155 -0.0133116977484 0.843657725906 0.692743732595 0.698395072415 0.121413677242 0.868405248076 -0.313613207547 0.943322011844 2
1.4413.373 2.03610897122 0.977674282566 -0.0292534741409 0.868120539987 0.502406895371 0.541270287934 0.0873905050606 0.873431517021 -0.398688372093 0.845705234784 2
1.4530.136 1.44546683253 0.951361004123 -0.00558932322862 0.893211270331 0.441459707534 0.558527250418 0.227562364487 0.732317070842 -0.0647224880383 0.837162478972 2
1.4538.531 1.50485391395 0.918621620259 -0.0102325160152 0.757037225653 0.0455155910442 0.564973337619 0.174442114735 0.694094928533 -0.319602040816 0.945989065755 2
1.4653.105 1.47883287408 0.878074235001 -0.00367806772513 0.903398071054 0.787969977491 0.939008106178 0.21129425556 0.804630080801 -0.397070484582 0.932985268132 2
1.4659.335 1.51015505867 0.876390420699 -0.00287655596426 0.953488900627 0.290112351882 0.778311446086 0.199835295342 0.588885786809 -0.322353535354 0.847748446696 2
10.4279.1493 1.01073592542 0.968252070967 -0.00349322527819 0.886886952571 1.1622288982 0.661232574121 0.296635431529 0.702338674033 -0.20064375 0.920480633278 2
11.8751.968 1.35217116073 0.919097645663 -0.0267988062316 0.920967553237 0.371332704576 0.780896083168 0.193918830124 0.904646581564 0.363956521739 0.853750549207 2
11.9358.200 1.11309927342 0.98229189574 -0.0118785408667 0.926947936115 0.639216337111 0.729864892611 0.245073398175 0.815954555355 0.0455527638191 0.915493515169 2
11.9714.184 1.47692831213 0.973450239907 -0.0111262211962 0.974980199199 0.947166650492 0.80580247954 0.148613297036 0.605000969067 0.122121495327 0.981718949185 2
11.9720.68 1.83786905952 0.935829764621 -0.0030659347315 0.665118521532 0.365764644781 0.792573380482 0.117394035634 0.689867695925 -0.0677708333333 0.788987996117 2
12.10561.1161 1.94834452283 0.978214884524 -0.00876047980733 0.807231122735 0.0580653225331 0.825380219784 0.104503048881 0.896670842934 -0.132605882353 0.92591439652 2
12.10684.267 1.93814939429 0.901873875764 -0.0123921360379 0.954245577585 0.316506137263 0.752354918769 0.0922684260051 0.76681390161 -0.167404761905 0.964305850811 2
12.10926.76 1.1691857584 0.785414270884 -0.00356184599387 0.934397424365 0.490221076997 0.756979911317 0.295647691186 0.578384586067 -0.0604545454545 0.838483941101 2
13.6689.2365 1.91683223684 0.934938962631 -0.00571514399798 0.933834362652 0.549416544343 0.756085262256 0.142598296324 0.734566046266 -0.284094117647 0.877089459764 2
13.6931.2479 0.325837577975 0.588310844854 -0.00956267637603 0.790540186887 2.45853571959 0.326166435875 0.428017564715 0.519280441169 -0.36656097561 0.881679964215 2
14.8493.39 0.293334826531 0.784385130006 -0.00769252672706 0.622007997566 6.40117361413 0.469274105598 0.434318909015 0.337935436652 -0.21027 0.844917455148 2
14.8622.3551 1.79987930106 0.960536116432 -0.00520822245225 0.890760424855 0.149905666451 0.713858119284 0.18583918094 0.648514067206 -0.496920903955 0.950936941153 2
14.8863.660 1.30129589479 0.899806071235 -0.00497347224462 0.981553950868 0.4227944611 0.863202788686 0.204205890496 0.833982198183 -0.23290960452 0.944043868133 2
14.9587.87 1.60661385643 0.945451412184 -0.00895939336278 0.897644371016 2.31439771252 0.605986997937 0.16020922423 0.513754698824 -0.145544444444 0.689870815032 2
17.2102.357 0.979408552868 0.877274599802 -0.0179595461755 0.947238163082 1.61374348858 0.265199800709 0.356787953531 0.193001614007 -0.506418181818 0.928832370305 2
17.2105.71 0.522891044906 0.775321905885 -0.00641528391144 0.830111370062 2.71847825714 0.649484941282 0.384502784591 0.407830983686 -0.300141304348 0.903287762636 2
17.2108.72 1.03820035768 0.889211639227 -0.0049810274078 0.710285124367 2.06131185244 0.345919532861 0.324421884707 0.790253763466 -0.193034883721 0.945993195356 2
17.2109.108 0.31279990883 0.643671871636 -0.00874057432605 0.568736950005 2.76726589897 0.51481369364 0.430263764467 0.581315421269 -0.371252873563 0.948386002529 2
17.2469.222 1.80689394953 0.922758526507 -0.00734298489617 0.736167042847 0.641467373086 0.768113767611 0.17713893248 0.743851834148 -0.384707865169 0.85265058984 2
17.3076.164 1.58496013026 0.756162421564 -0.00824102971499 0.720517053776 0.223762304275 0.209253598388 0.199909108387 0.081555061532 -0.487974358974 0.81260572884 2
18.2483.95 2.08720727799 0.926794172036 -0.00460967152249 0.90996379612 0.5015066544 0.617037358701 0.1138637681 0.508882157141 -0.180935251799 0.955647962165 2
