Macho_id Sigma_B Sigma_B_comp Eta_B Eta_B_comp stetson_L_B stetson_L_B_comp CuSum_B CuSum_B_comp B-R B-R_comp stetson_J stetson_J_comp stetson_K stetson_K_comp skew skew_comp kurt kurt_comp std std_comp beyond1_std beyond1_std_comp max_slope max_slope_comp amplitude amplitude_comp med_abs_dev med_abs_dev_comp class
1.3567.1310 -0.0162014328982 0.467999977718 0.422110925365 0.689103198456 3.98626243468 0.454527457725 0.410509208201 0.639957008175 -0.327575362319 0.717399114604 3.9464917575 0.467328221492 0.806041826092 0.912308035345 0.353616647469 0.82612754824 4.37317553286e+15 0.808729573734 0.101532431105 0.461742469296 0.388405797101 0.684243010238 7.44416874355 0.919965056031 0.605 0.802307526548 0.073 0.477157928452 2
1.4176.155 -0.00894724722514 0.702494031202 0.475327494943 0.530250497986 3.38161712766 0.779436394685 0.401610579012 0.617250041176 -0.319418181818 0.930123739874 3.40462201875 0.768967270732 0.792607946789 0.563482781003 0.367420935729 0.528878794618 4.34130724769e+16 0.848323251361 0.0641034610257 0.697412099218 0.356060606061 0.484718538651 6.36223704742 -0.0161290322581 0.565 0.83064516129 0.055 0.778897657144 2
1.4410.291 -0.0103050929364 0.921163372971 1.49938696784 0.611590922928 1.32901843837 0.75974801554 0.221215453069 0.5601802326 -0.335112698413 0.878163402131 1.50754514356 0.773453071457 0.703499141202 0.854363204127 2.96278634396 0.609528148795 4.07918058304e+17 0.901268425717 0.0659327533995 0.920583198936 0.188888888889 0.544463973098 5.27920291256 0.745762711864 1.258 0.964932787843 0.0315 0.841630251072 2
1.4413.373 -0.0211055283199 0.917391523695 1.93679083793 0.870652557689 0.593197125838 0.871523872471 0.175504926172 0.891376044798 -0.38455 0.921712822524 1.64181794071 0.872377067345 0.288321436062 0.963322203036 -7.31541178835 0.742912712732 5.36226577055e+16 0.914161380407 0.135787956648 0.918745651056 0.0453125 0.935619580051 54.7854127242 0.253930265195 3.017 0.95969158853 0.038 0.860682200593 2
1.4530.136 -0.01062663971 0.548732486733 0.351850243766 0.725479112566 2.82182707443 0.593326658971 0.411598220809 0.670815393769 -0.0434190476191 0.859542196472 2.86872128317 0.567637190558 0.78495531044 0.866879686406 -0.539302812076 0.863404728871 2.18276460883e+16 0.781980549963 0.0710481950095 0.552088690596 0.387301587302 0.750798112472 7.45282629372 0.661016949153 0.586 0.637684596764 0.0545 0.449954245354 2
1.4538.531 -0.012299122967 0.858787544622 1.10863601964 0.640203600582 1.12329838564 0.447351257119 0.303765037557 0.599977341463 -0.305772413793 0.798157035742 1.18610477223 0.389502209627 0.755744460971 0.639497868641 0.843243312697 0.716402122119 1.00785075469e+15 0.873456713674 0.0754862489069 0.854584651902 0.279310344828 0.713538284413 3.1526797798 0.237333333333 0.513 0.848589938642 0.0505 0.532364608201 2
1.4653.105 -0.00557723032985 0.883622253993 0.715365266069 0.903606499664 2.27399694463 0.810598234332 0.356291629126 0.683122209414 -0.389429411765 0.763555449451 2.51354034006 0.779966825198 0.721949647234 0.799650517792 0.119495367974 0.900713361144 1.7627585413e+17 0.766073819143 0.0419546331382 0.881441405393 0.367647058824 0.932743766078 5.63266948473 -0.015625 0.247 0.78228442891 0.032 0.896785008339 2
1.4659.335 -0.00592560291132 0.716314365559 0.97348999303 0.836401568406 0.945595812923 0.805367766107 0.289564926947 0.780500784847 -0.33116 0.749619255254 1.09783954234 0.808593782578 0.687336746049 0.871118722575 0.443266608296 0.774094075532 2.27787250314e+16 0.734334535675 0.0411365427629 0.717651679475 0.28 0.685921786452 2.74614869302 0.712572996944 0.402 0.494181085912 0.0255 0.802636533158 2
10.4279.1493 -0.00475675509416 0.664068476732 0.458608876106 0.72241145464 2.1265344324 0.661820142596 0.372658403907 0.771532391586 -0.19729375 0.715555001997 2.30720210581 0.712807246563 0.735511844752 0.847817492611 -0.169017184783 0.863457377178 6.0401963333e+16 0.714790557207 0.0394402681966 0.660665776021 0.327083333333 0.752081138018 0.559841710509 0.896734677552 0.233 0.800135408661 0.0285 0.725081372499 2
11.8751.968 -0.0384346282665 0.621452989105 1.04848995169 0.830898230365 0.791618059843 0.657721735336 0.293842949809 0.86836228758 0.373606451613 0.91336789545 0.810706834132 0.655279447746 0.779210418809 0.892203884081 0.328378693908 0.613178706366 5.46996508459e+14 0.813691592889 0.192484957752 0.61871873218 0.287096774194 0.958721741684 22.3335420948 0.926018808777 1.804 0.576706590102 0.105 0.70192924816 2
